StreetPostcode,ReplacedPipes,BuiltAfter1970,Easting,Northing,WOAName,Region,CensusHouseholdCount2011,UrbanRural,Phosphorus,LeadMeasurement,BuildYear,MeanHouseAge,MedianHouseAge,BuildYearRounded,LeadPresence,TotalPoints,LeadProportion
FK218TE,0,0.666666667,257435,733019,Killin WOA,FORTH,17,8,0,0.2,1977.066667,41.93333333,20,1977,0,2,0
FK218TQ,0,0,257375,732898,Killin WOA,FORTH,17,8,0,1.7,1953.6,65.4,67,1954,1,4,0.25
FK27TS,0,0,289245,682132,Carron Valley WOA,FORTH,9,2,885.8910891,0.2,1959.4,59.6,60,1959,0,1,0
FK38RL,0,0,292571,680039,C V & Turret & Balmore WOA,FORTH,10,2,885.8910891,0.2,1952.4,66.6,67,1952,0,1,0
FK38RU,0,0,292649,680425,C V & Turret & Balmore WOA,FORTH,10,2,885.8910891,0.2,1951.4,67.6,67,1951,0,1,0
FK79DA,0,0,279059,691017,Turret West Region WOA,FORTH,16,2,461,0.2,1955,64,64,1955,0,2,0
FK94QQ,0,1,279060,697872,Turret West Region WOA,FORTH,18,2,461,0.85,1984.210526,34.78947368,36,1984,1,2,0.5
G639DL,0,0,256014,679253,Balmore West Region WOA,FORTH,14,6,855.1041667,0.2,1962.066667,56.93333333,58,1962,0,2,0
G838HJ,0,1,240180,681827,Blairlinnans WOA,FORTH,10,2,442.8367347,0.2,2011,8,8,2011,0,1,0
IV308GY,0,0.7,321304,857538,Glenlatterach WOA,DON,22,6,1862.542857,0.2,1968.4,50.6,22,1968,0,7,0
IV308TZ,1,0.8,315358,857234,Glenlatterach WOA,DON,39,6,1862.542857,0.225,1982.4,36.6,16,1982,0,4,0
IV316DP,1,0.181818182,323411,870451,Spey Badentinan WOA,DON,48,3,1183.960784,1.728571429,1902.272727,116.7272727,129,1902,3,7,0.428571429
KA278FD,0,1,202492,642293,Corrie Membrane WOA,AYR,2,8,0,0.2,2010.75,8.25,8,2011,0,1,0
KW151BA,0,0.444444444,344337,1010463,Kirbister & Boardhouse WOA,DON,17,5,0,0.25,1958.888889,60.11111111,50,1959,0,2,0
KW151DH,0,1,344866,1010892,Kirbister & Boardhouse WOA,DON,4,5,0,0.2,1991.545455,27.45454545,27,1992,0,1,0
KW151HP,0,0.444444444,345022,1011114,Kirbister & Boardhouse WOA,DON,9,5,0,0.233333333,1925.333333,93.66666667,119,1925,0,3,0
KW151JT,0,1,345750,1010765,Kirbister & Boardhouse WOA,DON,18,5,0,0.6,1978.5,40.5,42,1978,1,2,0.5
KW151SS,0,0.916666667,346317,1008379,Kirbister & Boardhouse WOA,DON,9,8,0,0.2,1988.25,30.75,30,1988,0,1,0
KW151UA,0,0.3,343721,1011538,Kirbister & Boardhouse WOA,DON,9,5,0,0.3,1971.7,47.3,55.5,1972,0,1,0
KW151XF,0,1,345830,1010226,Kirbister & Boardhouse WOA,DON,10,5,0,1.5,1977,42,42,1977,1,1,1
KW163DF,0,0.5,325265,1008648,Boardhouse WOA,DON,32,8,0,0.24,1928.2,90.8,48,1928,0,5,0
KW163EB,0,1,325307,1008794,Boardhouse WOA,DON,10,8,0,0.2,1973.181818,45.81818182,46,1973,0,1,0
KW163LY,0,0.583333333,324498,1020331,Boardhouse WOA,DON,9,8,0,0.2,1965.75,53.25,40.5,1966,0,2,0
KW163NG,0,0.4,325871,1005879,North Hoy WOA,DON,14,8,0,0.3,1936.933333,82.06666667,112,1937,0,2,0
KW163NJ,0,0.615384615,323476,1003499,North Hoy WOA,DON,25,8,0,0.7,1945.307692,73.69230769,37,1945,0,3,0
KW163NU,0,0.4,330183,995559,South Hoy WOA,DON,10,8,1204.408163,0.2,1920.8,98.2,119,1921,0,1,0
KW163NX,0,0.388888889,330698,992818,South Hoy WOA,DON,9,8,1204.408163,0.2,1937.944444,81.05555556,79,1938,0,2,0
KW163PG,0,0.409090909,330741,990790,South Hoy WOA,DON,19,8,1204.408163,0.25,1946.227273,72.77272727,75.5,1946,0,4,0
KW163PQ,0,0.567567568,333021,990921,South Hoy WOA,DON,34,8,1204.408163,0.22,1950.918919,68.08108108,36,1951,0,5,0
KW172AA,1,0.488372093,356219,1030832,Eday WOA,DON,41,8,0,0.683333333,1950.488372,68.51162791,56,1950,0,6,0
KW172AB,0,0.6,356905,1036557,Eday WOA,DON,44,8,0,0.753846154,1954.28,64.72,34,1954,2,13,0.153846154
KW172AJ,0,0.380952381,366010,1023198,Stronsay WOA,DON,16,8,0,2.2,1936.619048,82.38095238,75,1937,2,2,1
KW172AN,1,0.608695652,362401,1023912,Stronsay WOA,DON,18,8,0,5.8,1951.956522,67.04347826,40,1952,2,6,0.333333333
KW172AZ,0,0.529411765,367016,1044156,Sanday WOA,DON,43,8,0,0.4,1947.980392,71.01960784,47,1948,0,11,0
KW172BA,0,0.541666667,362433,1038056,Sanday WOA,DON,36,8,0,0.3,1945.791667,73.20833333,42.5,1946,0,8,0
KW172BE,0,0.458333333,375851,1053117,North Ronaldsay WOA,DON,18,8,0,1.375,1944.875,74.125,56.5,1945,2,4,0.5
KW172BJ,0,0.666666667,365909,1038686,Sanday WOA,DON,12,8,0,0.2,1962.266667,56.73333333,29,1962,0,2,0
